ad_id,color_tone,lighting_mood,composition_style,visual_style_tag,emotional_tone,narrative_structure,ad_pacing,character_setup,has_narrative_twist,setting,product_visibility,symbolic_representation,slogan,language_style,verbal_technique,key_linguistic_element1,key_linguistic_element2,industry_category,is_clothing_industry,is_personal_care_industry,product_type,marketing_strategy,brand_positioning,unique_selling_proposition,gender_target,age_group,cultural_context,lifestyle_segment,socioeconomic_indicator,primary_audience,secondary_audience
2022 YOUTUBE TV - Strange Choices (1),warm greens and yellows,"soft, natural lighting",close-up personal connection,casual and inviting,relaxation and convenience,conversational dialogue,dynamic and humorous,playful banter between characters,No,everyday casual environment,Yes,leisure and enjoyment,Try YouTube TV for free,conversational and humorous,dialogue and irony,unlimited DVR,no annual contract,entertainment,No,No,streaming service,promotional trial offer,convenient and user-friendly,live TV without contracts,neutral,middle-aged,modern streaming culture,tech-savvy and convenience-seeking,middle to upper class,sports fans,cord-cutters
tHoYKy1GMgM,warm tones with bright green,"soft, warm indoor lighting","close-up, slightly off-center",humorous and casual,intrigued and humorous,direct address and product reveal,moderate rhythm with playful tone,Bryan Cranston as relatable figure,No,blurred home interior,Yes,casual enjoyment,new Mountain Dew Zero Sugar,conversational and playful,direct address,Zero sugar,refreshing taste,food,No,No,soft drink,celebrity endorsement,refreshing alternative,same taste without sugar,neutral,teenagers,casual and relatable,health-conscious consumers,broad appeal,Mountain Dew drinkers,health-conscious individuals
2014_doritos_cowboy_kid-mp4,bright and natural,"daytime, sunny atmosphere","balanced, centered action",lighthearted and playful,amusement and nostalgia,casual family scene,light and playful rhythm,mother and two children,No,suburban home,Yes,captivating nature of Doritos,Thanks for watching!,conversational and casual,direct address,Doritos,help,food,No,No,snack food,lifestyle appeal,family-friendly,fun family moments,neutral,kids,family-oriented,casual family fun,middle-class,parents with young children,children
2018_tide_campaign-mp4,warm natural tones,natural soft lighting,balanced composition,lighthearted humorous,humorous and lighthearted,non-linear progression,quick and dynamic,two contrasting male characters,Yes,rural landscape,Yes,modern vs traditional laundry,It's a Tide ad.,conversational and playful,repetition for emphasis,Tide,cold refresh,retail,No,Yes,laundry detergent,humor and surprise,every ad is a Tide ad,stain removal effectiveness,neutral,middle-aged,American suburban,family-oriented,middle class,household decision-makers,young adults
2022-intuit-quickbooks-and-mailchimp-duality-duets-ft-dj-khaled-mp4,warm palette with oranges and yellows,"soft, inviting glow",off-center focal point,cozy and vibrant,confidence and success,motivational progression,upbeat and rhythmic,friendly male chef,No,restaurant interior,Yes,growth and success,All I do is win,motivational and rhythmic,repetition and rhyme,win,confidence,technology,No,No,business software,collaborative promotion,supportive and empowering,integrated business solutions,neutral,middle-aged,entrepreneurial environment,business-oriented,small business owners,entrepreneurs,small business managers
2016_acura_nsx_what_he_said-mp4,dark blue and fiery orange-red,ethereal glow from center,centered swirling forms,mysterious and abstract,intrigue and curiosity,open to interpretation,slow and contemplative,none visible,No,abstract and undefined,No,transformation and energy flow,N/A,N/A,N/A,N/A,N/A,automotive,No,No,N/A,N/A,N/A,N/A,neutral,N/A,spiritual and mystical themes,interested in abstract and fantasy,N/A,N/A,N/A
K2Gj9BufAqo,cool tones of teal and light blue,"soft, even lighting",simple and clean,futuristic,calm confidence,testimonial,steady and relaxed,owner sharing experience,No,digital workspace,Yes,gateway to easy content creation,Look like you know what you're doing,conversational and engaging,humor and relatability,slick social media-styled stuff,AI not only to create,technology,No,No,social media management tool,ease of use and empowerment,support for small businesses,AI-driven content creation,neutral,middle-aged,entrepreneurial and tech-savvy,small business owners,entrepreneurial,small business owners,entrepreneurs
2020 Walmart Famous Visitors,"warm, desaturated beige and brown","natural, bright, slightly hazy",wide shot emphasizing vastness,nostalgic adventure,nostalgia and excitement,journey and adventure,steady rhythm with anticipation,iconic Star Wars droids,No,desert landscape,No,journey and legacy,"This is the future, this is the present",conversational and enthusiastic,repetition for emphasis,future,present,entertainment,No,No,Star Wars merchandise,nostalgia-driven,classic franchise appeal,return to classic themes,neutral,teenagers,pop culture fandom,entertainment enthusiasts,varied,Star Wars fans,new viewers
2009_bud_light_skiier_drinkability-1-mp4,dominant blue with gold accents,dark with focused highlights,simple and centered,cool and refreshing,thirst and satisfaction,direct message,steady and engaging,implied youthful audience,No,dark blue textured background,Yes,easy drinking metaphor,The Difference Is Drinkability,casual and direct,appeal to trust,Drinkability,chicks dig this,food,No,No,beer,emphasizing drinkability,youthful and approachable,smooth and refreshing taste,male,teenagers,blue-collar youth culture,casual social drinkers,working class,young adults,casual drinkers
2018_groupon_who_wouldnt-1-mp4,"warm, inviting tan","natural daylight, bright",centered focus on subject,"upbeat, aspirational","positive, aspirational",conversational progression,dynamic and engaging,Tiffany Haddish as relatable figure,No,sidewalk cafe with shops,Yes,supporting local business,Download the app and save,"conversational, relatable",rhetorical questioning,support local business,feels so good,retail,No,No,discount app,celebrity endorsement,"value-driven, community-focused",savings while supporting local,neutral,teenagers,"urban, community-oriented",value-seekers,middle-class,young adults,families
