ad_id,color_tone,lighting_mood,composition_style,visual_style_tag,emotional_tone,narrative_structure,ad_pacing,character_setup,has_narrative_twist,setting,product_visibility,symbolic_representation,slogan,language_style,verbal_technique,key_linguistic_element1,key_linguistic_element2,industry_category,is_clothing_industry,is_personal_care_industry,product_type,marketing_strategy,brand_positioning,unique_selling_proposition,gender_target,age_group,cultural_context,lifestyle_segment,socioeconomic_indicator,primary_audience,secondary_audience
2022 YOUTUBE TV - Strange Choices (1),630,518,289,56,543,119,28,579,0,268,1,523,564,43,44,810,574,7,0,0,409,363,133,517,2,3,423,509,41,325,116
tHoYKy1GMgM,650,525,318,282,394,147,126,14,0,99,1,88,731,55,54,193,668,11,0,0,380,54,528,679,2,8,164,273,10,20,279
2014_doritos_cowboy_kid-mp4,33,104,32,370,14,40,110,511,0,704,1,82,523,26,54,68,438,11,0,0,370,284,201,402,2,2,277,143,43,290,104
2018_tide_campaign-mp4,635,411,21,375,344,411,140,683,1,625,1,576,321,55,216,169,248,22,0,1,234,211,175,747,2,3,50,222,37,229,456
2022-intuit-quickbooks-and-mailchimp-duality-duets-ft-dj-khaled-mp4,643,512,581,129,106,405,311,302,0,605,1,393,26,231,213,826,258,25,0,0,76,62,629,466,2,3,254,110,49,164,402
2016_acura_nsx_what_he_said-mp4,156,171,144,433,379,415,199,536,0,35,0,829,730,235,172,589,553,2,0,0,291,308,435,553,2,5,558,302,47,273,342
K2Gj9BufAqo,115,502,624,242,66,550,258,566,0,237,1,377,383,35,111,717,12,25,0,0,376,96,621,9,2,3,253,446,25,308,140
2020 Walmart Famous Visitors,675,416,681,460,469,359,264,342,0,220,0,479,552,36,216,421,641,7,0,0,22,311,107,672,2,8,493,206,52,31,345
2009_bud_light_skiier_drinkability-1-mp4,295,95,623,125,618,158,246,369,0,189,1,251,525,7,21,71,233,11,0,0,67,118,715,722,1,8,138,149,60,375,91
2018_groupon_who_wouldnt-1-mp4,684,350,109,673,521,123,26,72,0,643,1,802,144,92,229,764,363,22,0,0,138,54,704,689,2,8,623,548,43,375,149
XZmMvVCcW0M,302,184,374,205,207,391,77,528,0,360,1,626,713,126,162,295,369,11,0,0,108,389,188,138,2,8,567,21,47,312,32
YKzk1h7qrj8,103,38,73,690,482,141,32,4,0,655,1,604,407,43,43,488,210,7,0,0,409,313,206,834,2,2,278,207,10,180,348
2022-budweiser-a-clydesdales-journey-mp4,395,472,293,584,569,318,215,768,0,623,0,708,730,99,153,818,579,15,0,0,291,101,451,314,2,3,530,344,37,275,287
2001_visa_check_card_pet_store-mp4,445,183,555,77,269,184,220,251,0,561,1,302,575,79,54,182,463,22,0,0,313,361,134,737,2,3,277,213,37,285,377
2004_emerald_nuts_encouraging_norwegians-mp4,16,230,676,432,387,232,209,534,0,191,0,771,691,62,77,435,811,11,0,0,296,143,632,428,2,3,72,273,47,24,280
2019-doritos-chance-the-rapper-backstreet-boys-mp4,651,190,130,499,199,542,189,17,0,403,1,332,179,257,213,478,610,11,0,0,370,54,135,741,2,8,481,147,67,182,406
2014_labatt_blue_undomesticated_snowboarding-1-mp4,18,420,187,704,267,355,158,772,0,660,0,327,221,210,140,806,402,4,0,0,67,256,475,490,2,8,662,52,43,375,455
